Name,Type,Cat,Power,Acc.,PP,
Toxic,POISON,st,Ñ,90,10,
Transform,NORMAL,st,Ñ,Ñ,10,
Tri Attack,NORMAL,sp,80,100,10,
Twineedle,BUG,ph,25,100,20,
Vice Grip,NORMAL,ph,55,100,30,
Vine Whip,GRASS,ph,45,100,25,
Water Gun,WATER,sp,40,100,25,
Waterfall,WATER,ph,80,100,15,
Whirlwind,NORMAL,st,Ñ,Ñ,20,
Wing Attack,FLYING,ph,60,100,35,
Withdraw,WATER,st,Ñ,Ñ,40,
Wrap,NORMAL,ph,15,90,20,

